student_id,question_id,student_answer,is_correct
S001,Q001,x=4,1
S001,Q002,6a-5,0
S001,Q003,40平方厘米,0
S001,Q004,x=2或x=3,1
S001,Q005,3,0
S001,Q006,x+1,1
S001,Q007,因为两边相等所以角相等,0
S001,Q008,x=6,1
S002,Q001,x=4,1
S002,Q002,5a-5,1
S002,Q003,20平方厘米,1
S002,Q004,x=2或x=3,1
S002,Q005,1,1
S002,Q006,x+1,1
S002,Q007,作辅助线证明全等,1
S002,Q008,x=6,1
S003,Q001,x=7,0
S003,Q002,5a-5,1
S003,Q003,20平方厘米,1
S003,Q004,x=1或x=6,0
S003,Q005,1,1
S003,Q006,x-1,0
S003,Q007,不知道,0
S003,Q008,x=2,0
S004,Q001,x=4,1
S004,Q002,5a-5,1
S004,Q003,20平方厘米,1
S004,Q004,x=2或x=3,1
S004,Q005,1,1
S004,Q006,x+1,1
S004,Q007,证明过程不完整,0
S004,Q008,x=6,1
S005,Q001,x=5,0
S005,Q002,3a-5,0
S005,Q003,20平方厘米,1
S005,Q004,不会,0
S005,Q005,2,0
S005,Q006,x+1,1
S005,Q007,两角相等,0
S005,Q008,x=6,1
